,0
Team_ID,1610612739
Season,2011-12
FGM,"{'AVG': 34.25757575757576, 'STDEV': 4.61205979699912}"
FGA,"{'AVG': 81.21212121212122, 'STDEV': 6.5925719307418}"
FGP,"{'AVG': 0.42307575757575705, 'STDEV': 0.055447358432206}"
FG3M,"{'AVG': 6.666666666666667, 'STDEV': 2.685192062079807}"
FG3A,"{'AVG': 19.28787878787879, 'STDEV': 3.9798150382810182}"
FG3P,"{'AVG': 0.344031273597174, 'STDEV': 0.11303048533671801}"
FTM,"{'AVG': 17.848484848484848, 'STDEV': 4.934158565137601}"
FTA,"{'AVG': 24.924242424242426, 'STDEV': 24.924242424242426}"
FTP,"{'AVG': 0.719075757575757, 'STDEV': 0.719075757575757}"
OREB,"{'AVG': 12.742424242424242, 'STDEV': 4.005037620338459}"
DREB,"{'AVG': 29.53030303030303, 'STDEV': 5.081549421401363}"
REB,"{'AVG': 42.27272727272727, 'STDEV': 6.590308629508017}"
AST,"{'AVG': 19.818181818181817, 'STDEV': 4.979678985356666}"
BLK,"{'AVG': 3.969696969696969, 'STDEV': 2.133755785677862}"
TOV,"{'AVG': 14.621212121212121, 'STDEV': 3.9331535654862213}"
PF,"{'AVG': 19.954545454545453, 'STDEV': 4.5486492269914365}"
