,0
Team_ID,1610612762
Season,2011-12
FGM,"{'AVG': 38.22727272727273, 'STDEV': 4.676604470193023}"
FGA,"{'AVG': 83.8030303030303, 'STDEV': 8.529080926173783}"
FGP,"{'AVG': 0.458136363636363, 'STDEV': 0.053941816621426004}"
FG3M,"{'AVG': 4.136363636363637, 'STDEV': 1.9836746293092111}"
FG3A,"{'AVG': 12.803030303030303, 'STDEV': 3.771225864641963}"
FG3P,"{'AVG': 0.31786201199900804, 'STDEV': 0.11555983482963801}"
FTM,"{'AVG': 19.060606060606062, 'STDEV': 5.282420155947717}"
FTA,"{'AVG': 25.272727272727273, 'STDEV': 25.272727272727273}"
FTP,"{'AVG': 0.7554848484848481, 'STDEV': 0.7554848484848481}"
OREB,"{'AVG': 13.045454545454545, 'STDEV': 4.077826789930063}"
DREB,"{'AVG': 31.136363636363637, 'STDEV': 5.282442219674135}"
REB,"{'AVG': 44.18181818181818, 'STDEV': 6.775315129563724}"
AST,"{'AVG': 21.803030303030305, 'STDEV': 4.393070406796093}"
BLK,"{'AVG': 5.833333333333333, 'STDEV': 2.692344322095142}"
TOV,"{'AVG': 13.575757575757576, 'STDEV': 3.305289960796439}"
PF,"{'AVG': 21.833333333333332, 'STDEV': 4.596263811580122}"
