,0
Team_ID,1610612740
Season,2004-05
FGM,"{'AVG': 33.146341463414636, 'STDEV': 4.703877967310162}"
FGA,"{'AVG': 79.95121951219512, 'STDEV': 7.270611296024989}"
FGP,"{'AVG': 0.415121951219512, 'STDEV': 0.050402917376837005}"
FG3M,"{'AVG': 5.060975609756097, 'STDEV': 2.932775877062}"
FG3A,"{'AVG': 16.048780487804876, 'STDEV': 5.084234744666481}"
FG3P,"{'AVG': 0.30236473765050303, 'STDEV': 0.1336233996229}"
FTM,"{'AVG': 17.085365853658537, 'STDEV': 6.421801638500813}"
FTA,"{'AVG': 22.317073170731707, 'STDEV': 22.317073170731707}"
FTP,"{'AVG': 0.7739390243902431, 'STDEV': 0.7739390243902431}"
OREB,"{'AVG': 12.426829268292684, 'STDEV': 3.296202408252537}"
DREB,"{'AVG': 27.817073170731707, 'STDEV': 5.345190635781997}"
REB,"{'AVG': 40.24390243902439, 'STDEV': 6.296306923844583}"
AST,"{'AVG': 21.024390243902438, 'STDEV': 4.436035405340506}"
BLK,"{'AVG': 3.780487804878048, 'STDEV': 2.14892675046447}"
TOV,"{'AVG': 13.926829268292684, 'STDEV': 4.051460604796647}"
PF,"{'AVG': 22.963414634146343, 'STDEV': 4.047389409957063}"
