,0
Team_ID,1610612751
Season,2004-05
FGM,"{'AVG': 33.573170731707314, 'STDEV': 5.32181740006425}"
FGA,"{'AVG': 78.28048780487805, 'STDEV': 7.066307451114522}"
FGP,"{'AVG': 0.430158536585365, 'STDEV': 0.06564014683746701}"
FG3M,"{'AVG': 5.304878048780488, 'STDEV': 2.720244290002273}"
FG3A,"{'AVG': 14.670731707317072, 'STDEV': 5.693953643995522}"
FG3P,"{'AVG': 0.359775407195882, 'STDEV': 0.13543544467339}"
FTM,"{'AVG': 18.963414634146343, 'STDEV': 6.175309502817301}"
FTA,"{'AVG': 24.865853658536587, 'STDEV': 24.865853658536587}"
FTP,"{'AVG': 0.7707804878048781, 'STDEV': 0.7707804878048781}"
OREB,"{'AVG': 10.426829268292684, 'STDEV': 3.593651768357531}"
DREB,"{'AVG': 29.109756097560975, 'STDEV': 5.137627106501228}"
REB,"{'AVG': 39.53658536585366, 'STDEV': 6.385158566920752}"
AST,"{'AVG': 21.609756097560975, 'STDEV': 5.920785937070913}"
BLK,"{'AVG': 3.756097560975609, 'STDEV': 2.0820275944243862}"
TOV,"{'AVG': 13.426829268292684, 'STDEV': 4.4722201181634205}"
PF,"{'AVG': 24.20731707317073, 'STDEV': 4.06957335367474}"
