,0
Team_ID,1610612764
Season,2004-05
FGM,"{'AVG': 36.170731707317074, 'STDEV': 4.868150149466188}"
FGA,"{'AVG': 82.85365853658537, 'STDEV': 6.887315145007859}"
FGP,"{'AVG': 0.43725609756097505, 'STDEV': 0.052878806456247006}"
FG3M,"{'AVG': 6.268292682926829, 'STDEV': 2.39365818742305}"
FG3A,"{'AVG': 18.26829268292683, 'STDEV': 4.911686191789177}"
FG3P,"{'AVG': 0.344537590782068, 'STDEV': 0.103054432846943}"
FTM,"{'AVG': 21.890243902439025, 'STDEV': 7.119796948070393}"
FTA,"{'AVG': 30.195121951219512, 'STDEV': 30.195121951219512}"
FTP,"{'AVG': 0.723939024390243, 'STDEV': 0.723939024390243}"
OREB,"{'AVG': 13.817073170731707, 'STDEV': 4.2835546816434285}"
DREB,"{'AVG': 28.951219512195124, 'STDEV': 5.040337140948945}"
REB,"{'AVG': 42.76829268292683, 'STDEV': 6.771944266445717}"
AST,"{'AVG': 19.0609756097561, 'STDEV': 4.478611890813221}"
BLK,"{'AVG': 4.23170731707317, 'STDEV': 2.144754039182063}"
TOV,"{'AVG': 13.829268292682928, 'STDEV': 3.551403402130099}"
PF,"{'AVG': 22.036585365853657, 'STDEV': 4.158718706855053}"
