,0
Team_ID,1610612744
Season,1999-00
FGM,"{'AVG': 36.53658536585366, 'STDEV': 4.853902901945155}"
FGA,"{'AVG': 87.07317073170732, 'STDEV': 7.366558550915825}"
FGP,"{'AVG': 0.420865853658536, 'STDEV': 0.053567486498398}"
FG3M,"{'AVG': 4.2073170731707314, 'STDEV': 2.329297063880791}"
FG3A,"{'AVG': 13.036585365853659, 'STDEV': 3.979717472294908}"
FG3P,"{'AVG': 0.31339216166341805, 'STDEV': 0.139765940810978}"
FTM,"{'AVG': 18.25609756097561, 'STDEV': 6.632897762750839}"
FTA,"{'AVG': 26.182926829268293, 'STDEV': 26.182926829268293}"
FTP,"{'AVG': 0.6931829268292681, 'STDEV': 0.6931829268292681}"
OREB,"{'AVG': 15.853658536585366, 'STDEV': 4.693367927112386}"
DREB,"{'AVG': 29.73170731707317, 'STDEV': 5.074868557533495}"
REB,"{'AVG': 45.58536585365854, 'STDEV': 7.069236464108857}"
AST,"{'AVG': 22.573170731707318, 'STDEV': 4.9116402123352945}"
BLK,"{'AVG': 4.341463414634147, 'STDEV': 2.465663020016039}"
TOV,"{'AVG': 15.304878048780488, 'STDEV': 3.939947434600293}"
PF,"{'AVG': 24.914634146341463, 'STDEV': 4.2664387077766275}"
