,0
Team_ID,1610612737
Season,1999-00
FGM,"{'AVG': 36.58536585365854, 'STDEV': 4.941512787591543}"
FGA,"{'AVG': 83.01219512195122, 'STDEV': 7.30380232860149}"
FGP,"{'AVG': 0.442439024390243, 'STDEV': 0.05928547748826601}"
FG3M,"{'AVG': 3.146341463414634, 'STDEV': 1.969658435135155}"
FG3A,"{'AVG': 9.926829268292684, 'STDEV': 3.677695493557116}"
FG3P,"{'AVG': 0.325017571123532, 'STDEV': 0.182600266342921}"
FTM,"{'AVG': 18.01219512195122, 'STDEV': 6.722899694859087}"
FTA,"{'AVG': 24.23170731707317, 'STDEV': 24.23170731707317}"
FTP,"{'AVG': 0.745268292682926, 'STDEV': 0.745268292682926}"
OREB,"{'AVG': 13.975609756097562, 'STDEV': 3.947105861936786}"
DREB,"{'AVG': 31.341463414634145, 'STDEV': 5.247502668101409}"
REB,"{'AVG': 45.31707317073171, 'STDEV': 7.628533261576239}"
AST,"{'AVG': 18.878048780487806, 'STDEV': 4.22043893306307}"
BLK,"{'AVG': 5.621951219512195, 'STDEV': 2.7336054241376972}"
TOV,"{'AVG': 14.865853658536585, 'STDEV': 3.845029483814942}"
PF,"{'AVG': 20.951219512195124, 'STDEV': 4.739907898840558}"
