,0
Team_ID,1610612755
Season,1994-95
FGM,"{'AVG': 35.96341463414634, 'STDEV': 5.143484724377691}"
FGA,"{'AVG': 80.20731707317073, 'STDEV': 7.882999060923432}"
FGP,"{'AVG': 0.44929268292682906, 'STDEV': 0.055441992331631}"
FG3M,"{'AVG': 4.329268292682927, 'STDEV': 2.346812274779623}"
FG3A,"{'AVG': 11.414634146341463, 'STDEV': 3.823098153870532}"
FG3P,"{'AVG': 0.371394326976521, 'STDEV': 0.13688645268565602}"
FTM,"{'AVG': 19.109756097560975, 'STDEV': 6.271641243757049}"
FTA,"{'AVG': 25.914634146341463, 'STDEV': 25.914634146341463}"
FTP,"{'AVG': 0.7381219512195121, 'STDEV': 0.7381219512195121}"
OREB,"{'AVG': 13.475609756097562, 'STDEV': 4.7433530093969924}"
DREB,"{'AVG': 27.195121951219512, 'STDEV': 4.851979421425027}"
REB,"{'AVG': 40.670731707317074, 'STDEV': 6.8710429744515515}"
AST,"{'AVG': 19.097560975609756, 'STDEV': 4.61775894578975}"
BLK,"{'AVG': 7.024390243902439, 'STDEV': 2.6339455910655722}"
TOV,"{'AVG': 15.853658536585366, 'STDEV': 3.9287542436063143}"
PF,"{'AVG': 22.378048780487806, 'STDEV': 4.47390304895158}"
