,0
Team_ID,1610612766
Season,1994-95
FGM,"{'AVG': 37.207317073170735, 'STDEV': 4.537192814832115}"
FGA,"{'AVG': 78.51219512195122, 'STDEV': 8.02041208023416}"
FGP,"{'AVG': 0.47651219512195103, 'STDEV': 0.060142678895702004}"
FG3M,"{'AVG': 6.829268292682927, 'STDEV': 2.870905040974166}"
FG3A,"{'AVG': 17.182926829268293, 'STDEV': 5.303453449254278}"
FG3P,"{'AVG': 0.40086620639576603, 'STDEV': 0.137378675407435}"
FTM,"{'AVG': 19.353658536585368, 'STDEV': 5.884425879501413}"
FTA,"{'AVG': 24.902439024390244, 'STDEV': 24.902439024390244}"
FTP,"{'AVG': 0.77220731707317, 'STDEV': 0.77220731707317}"
OREB,"{'AVG': 10.146341463414634, 'STDEV': 3.655275069345746}"
DREB,"{'AVG': 29.20731707317073, 'STDEV': 5.139385092867758}"
REB,"{'AVG': 39.353658536585364, 'STDEV': 5.894906676230714}"
AST,"{'AVG': 25.26829268292683, 'STDEV': 5.152127165844436}"
BLK,"{'AVG': 4.865853658536586, 'STDEV': 2.124299129862505}"
TOV,"{'AVG': 14.207317073170731, 'STDEV': 3.753970095574862}"
PF,"{'AVG': 20.548780487804876, 'STDEV': 3.966378573492014}"
