,0
Team_ID,1610612742
Season,1994-95
FGM,"{'AVG': 39.353658536585364, 'STDEV': 5.75502346579402}"
FGA,"{'AVG': 89.53658536585365, 'STDEV': 10.06300537042564}"
FGP,"{'AVG': 0.44113414634146303, 'STDEV': 0.05646626048109601}"
FG3M,"{'AVG': 4.7073170731707314, 'STDEV': 2.89097277352032}"
FG3A,"{'AVG': 14.634146341463415, 'STDEV': 5.51655688627919}"
FG3P,"{'AVG': 0.314604589482598, 'STDEV': 0.125215879977143}"
FTM,"{'AVG': 19.78048780487805, 'STDEV': 5.490787773752747}"
FTA,"{'AVG': 26.951219512195124, 'STDEV': 26.951219512195124}"
FTP,"{'AVG': 0.7353292682926831, 'STDEV': 0.7353292682926831}"
OREB,"{'AVG': 18.463414634146343, 'STDEV': 5.183533095951084}"
DREB,"{'AVG': 29.670731707317074, 'STDEV': 4.363300591362824}"
REB,"{'AVG': 48.13414634146341, 'STDEV': 7.032134697093967}"
AST,"{'AVG': 23.670731707317074, 'STDEV': 4.538055487336258}"
BLK,"{'AVG': 4.2439024390243905, 'STDEV': 2.269284847426477}"
TOV,"{'AVG': 15.951219512195122, 'STDEV': 3.7115184042113762}"
PF,"{'AVG': 22.085365853658537, 'STDEV': 4.077039653183967}"
