,0
Team_ID,1610612754
Season,1994-95
FGM,"{'AVG': 36.3780487804878, 'STDEV': 4.566761945214328}"
FGA,"{'AVG': 76.1951219512195, 'STDEV': 7.148234737436055}"
FGP,"{'AVG': 0.479353658536585, 'STDEV': 0.060292573084633004}"
FG3M,"{'AVG': 4.560975609756097, 'STDEV': 2.206038631538943}"
FG3A,"{'AVG': 12.012195121951219, 'STDEV': 3.663277566518626}"
FG3P,"{'AVG': 0.38364792378705304, 'STDEV': 0.156568530357053}"
FTM,"{'AVG': 21.902439024390244, 'STDEV': 5.8301255859619285}"
FTA,"{'AVG': 29.146341463414632, 'STDEV': 29.146341463414632}"
FTP,"{'AVG': 0.7499634146341461, 'STDEV': 0.7499634146341461}"
OREB,"{'AVG': 12.817073170731707, 'STDEV': 3.9224836198085473}"
DREB,"{'AVG': 27.926829268292682, 'STDEV': 4.926071952790688}"
REB,"{'AVG': 40.74390243902439, 'STDEV': 6.938550344218397}"
AST,"{'AVG': 22.890243902439025, 'STDEV': 5.003717377520253}"
BLK,"{'AVG': 4.426829268292683, 'STDEV': 2.662174400446381}"
TOV,"{'AVG': 16, 'STDEV': 4.591995182171517}"
PF,"{'AVG': 23.646341463414632, 'STDEV': 4.897396514751894}"
