,0
Team_ID,1610612751
Season,1994-95
FGM,"{'AVG': 35.84146341463415, 'STDEV': 4.990038254622464}"
FGA,"{'AVG': 82.17073170731707, 'STDEV': 8.47043497075546}"
FGP,"{'AVG': 0.43798780487804806, 'STDEV': 0.056510349516963}"
FG3M,"{'AVG': 5.048780487804878, 'STDEV': 2.260243835990509}"
FG3A,"{'AVG': 15.817073170731707, 'STDEV': 4.766467358642005}"
FG3P,"{'AVG': 0.319060402970442, 'STDEV': 0.10631152962790201}"
FTM,"{'AVG': 21.341463414634145, 'STDEV': 7.399064859490102}"
FTA,"{'AVG': 28.109756097560975, 'STDEV': 28.109756097560975}"
FTP,"{'AVG': 0.7581707317073171, 'STDEV': 0.7581707317073171}"
OREB,"{'AVG': 14.792682926829269, 'STDEV': 5.093539371627767}"
DREB,"{'AVG': 31.329268292682926, 'STDEV': 5.411589935576613}"
REB,"{'AVG': 46.1219512195122, 'STDEV': 7.977422220337952}"
AST,"{'AVG': 22.975609756097562, 'STDEV': 5.060072731034647}"
BLK,"{'AVG': 6.682926829268292, 'STDEV': 3.138286269706658}"
TOV,"{'AVG': 15.24390243902439, 'STDEV': 3.9301335874313112}"
PF,"{'AVG': 22.48780487804878, 'STDEV': 3.88172006686556}"
