,0
Team_ID,1610612754
Season,2016-17
FGM,"{'AVG': 39.28048780487805, 'STDEV': 4.579272653021835}"
FGA,"{'AVG': 84.52439024390245, 'STDEV': 6.75355527724965}"
FGP,"{'AVG': 0.46591463414634104, 'STDEV': 0.050129511580963}"
FG3M,"{'AVG': 8.646341463414634, 'STDEV': 3.2293864846358122}"
FG3A,"{'AVG': 22.98780487804878, 'STDEV': 5.320572470913963}"
FG3P,"{'AVG': 0.371533045959661, 'STDEV': 0.10427473948660101}"
FTM,"{'AVG': 17.890243902439025, 'STDEV': 6.906797684945233}"
FTA,"{'AVG': 22.085365853658537, 'STDEV': 22.085365853658537}"
FTP,"{'AVG': 0.806048780487804, 'STDEV': 0.806048780487804}"
OREB,"{'AVG': 9.048780487804878, 'STDEV': 3.138382216823475}"
DREB,"{'AVG': 32.951219512195124, 'STDEV': 5.288941267304572}"
REB,"{'AVG': 42, 'STDEV': 5.929628472945037}"
AST,"{'AVG': 22.48780487804878, 'STDEV': 4.669956254425465}"
BLK,"{'AVG': 4.987804878048781, 'STDEV': 2.457007627170886}"
TOV,"{'AVG': 13.25609756097561, 'STDEV': 3.505941960073125}"
PF,"{'AVG': 19.475609756097562, 'STDEV': 4.249112063397605}"
