,0
Team_ID,1610612760
Season,2016-17
FGM,"{'AVG': 39.47560975609756, 'STDEV': 4.989434787643843}"
FGA,"{'AVG': 87.42682926829268, 'STDEV': 6.905053593635943}"
FGP,"{'AVG': 0.45208536585365805, 'STDEV': 0.050855690583053004}"
FG3M,"{'AVG': 8.439024390243903, 'STDEV': 2.893575518860427}"
FG3A,"{'AVG': 25.804878048780488, 'STDEV': 4.728268088925031}"
FG3P,"{'AVG': 0.32653542238363104, 'STDEV': 0.10050549139178801}"
FTM,"{'AVG': 19.20731707317073, 'STDEV': 5.673716322708521}"
FTA,"{'AVG': 25.76829268292683, 'STDEV': 25.76829268292683}"
FTP,"{'AVG': 0.747695121951219, 'STDEV': 0.747695121951219}"
OREB,"{'AVG': 12.21951219512195, 'STDEV': 3.555640242893884}"
DREB,"{'AVG': 34.40243902439025, 'STDEV': 5.321421317835592}"
REB,"{'AVG': 46.6219512195122, 'STDEV': 5.834423694714237}"
AST,"{'AVG': 20.98780487804878, 'STDEV': 4.952849042770206}"
BLK,"{'AVG': 4.975609756097561, 'STDEV': 2.287786194772156}"
TOV,"{'AVG': 14.621951219512194, 'STDEV': 3.55083104132129}"
PF,"{'AVG': 20.914634146341463, 'STDEV': 3.8784024314212413}"
