,0
Team_ID,1610612766
Season,2016-17
FGM,"{'AVG': 37.71951219512195, 'STDEV': 4.25215817460084}"
FGA,"{'AVG': 85.36585365853658, 'STDEV': 6.5875156806278135}"
FGP,"{'AVG': 0.44310975609756104, 'STDEV': 0.049908559867901006}"
FG3M,"{'AVG': 10.048780487804878, 'STDEV': 3.47443019228996}"
FG3A,"{'AVG': 28.621951219512194, 'STDEV': 6.360837439823681}"
FG3P,"{'AVG': 0.34808608207999403, 'STDEV': 0.08704407430798901}"
FTM,"{'AVG': 19.402439024390244, 'STDEV': 5.639060766067038}"
FTA,"{'AVG': 23.817073170731707, 'STDEV': 23.817073170731707}"
FTP,"{'AVG': 0.816475609756097, 'STDEV': 0.816475609756097}"
OREB,"{'AVG': 8.792682926829269, 'STDEV': 3.561584488828383}"
DREB,"{'AVG': 34.792682926829265, 'STDEV': 5.267505336126833}"
REB,"{'AVG': 43.58536585365854, 'STDEV': 6.081648614027173}"
AST,"{'AVG': 23.0609756097561, 'STDEV': 4.517039238359487}"
BLK,"{'AVG': 4.7560975609756095, 'STDEV': 2.4972131410526073}"
TOV,"{'AVG': 10.963414634146341, 'STDEV': 3.584758965160937}"
PF,"{'AVG': 16.585365853658537, 'STDEV': 3.877606553087616}"
