,0
Team_ID,1610612739
Season,2013-14
FGM,"{'AVG': 37.02439024390244, 'STDEV': 5.149554960409104}"
FGA,"{'AVG': 84.8170731707317, 'STDEV': 6.707519364062343}"
FGP,"{'AVG': 0.43778048780487805, 'STDEV': 0.060572989211209}"
FG3M,"{'AVG': 7.121951219512195, 'STDEV': 2.768385204332373}"
FG3A,"{'AVG': 20, 'STDEV': 4.747969026493666}"
FG3P,"{'AVG': 0.35475050140060804, 'STDEV': 0.11381460263869501}"
FTM,"{'AVG': 17.048780487804876, 'STDEV': 5.4634643715204945}"
FTA,"{'AVG': 22.695121951219512, 'STDEV': 22.695121951219512}"
FTP,"{'AVG': 0.7495, 'STDEV': 0.7495}"
OREB,"{'AVG': 12.060975609756097, 'STDEV': 4.223238360110799}"
DREB,"{'AVG': 32.0609756097561, 'STDEV': 5.407693561373348}"
REB,"{'AVG': 44.1219512195122, 'STDEV': 7.02621237533211}"
AST,"{'AVG': 21.195121951219512, 'STDEV': 5.039201936595099}"
BLK,"{'AVG': 3.707317073170732, 'STDEV': 2.895240047951199}"
TOV,"{'AVG': 13.475609756097562, 'STDEV': 3.552865683061907}"
PF,"{'AVG': 20, 'STDEV': 4.024615616949963}"
