,0
Team_ID,1610612758
Season,2014-15
FGM,"{'AVG': 36.707317073170735, 'STDEV': 4.126062317016363}"
FGA,"{'AVG': 80.6951219512195, 'STDEV': 6.2769203433921295}"
FGP,"{'AVG': 0.456243902439024, 'STDEV': 0.049851522996562}"
FG3M,"{'AVG': 5.621951219512195, 'STDEV': 2.522198942146302}"
FG3A,"{'AVG': 16.463414634146343, 'STDEV': 4.722405544026511}"
FG3P,"{'AVG': 0.33971410931725005, 'STDEV': 0.12090432092023501}"
FTM,"{'AVG': 22.304878048780488, 'STDEV': 6.357049211411087}"
FTA,"{'AVG': 29.26829268292683, 'STDEV': 29.26829268292683}"
FTP,"{'AVG': 0.760024390243902, 'STDEV': 0.760024390243902}"
OREB,"{'AVG': 10.914634146341463, 'STDEV': 4.104202060797771}"
DREB,"{'AVG': 33.26829268292683, 'STDEV': 5.130515774345694}"
REB,"{'AVG': 44.18292682926829, 'STDEV': 6.598031971415001}"
AST,"{'AVG': 20.329268292682926, 'STDEV': 4.357638045379376}"
BLK,"{'AVG': 3.951219512195122, 'STDEV': 2.182435150419689}"
TOV,"{'AVG': 15.609756097560975, 'STDEV': 4.042234126062051}"
PF,"{'AVG': 20.682926829268293, 'STDEV': 4.52940474867239}"
