,0
Team_ID,1610612765
Season,2014-15
FGM,"{'AVG': 37.08536585365854, 'STDEV': 4.486471349862898}"
FGA,"{'AVG': 85.82926829268293, 'STDEV': 6.548593059805507}"
FGP,"{'AVG': 0.43301219512195105, 'STDEV': 0.049671884861954}"
FG3M,"{'AVG': 8.573170731707316, 'STDEV': 3.250946634424123}"
FG3A,"{'AVG': 24.914634146341463, 'STDEV': 5.617875393649517}"
FG3P,"{'AVG': 0.339630993470157, 'STDEV': 0.09898013843103201}"
FTM,"{'AVG': 15.75609756097561, 'STDEV': 5.122116112686809}"
FTA,"{'AVG': 22.414634146341463, 'STDEV': 22.414634146341463}"
FTP,"{'AVG': 0.703195121951219, 'STDEV': 0.703195121951219}"
OREB,"{'AVG': 12.817073170731707, 'STDEV': 3.617952660189194}"
DREB,"{'AVG': 32.073170731707314, 'STDEV': 5.117822858403462}"
REB,"{'AVG': 44.890243902439025, 'STDEV': 6.303058433712123}"
AST,"{'AVG': 21.597560975609756, 'STDEV': 4.20422995723035}"
BLK,"{'AVG': 4.670731707317073, 'STDEV': 2.266529832736807}"
TOV,"{'AVG': 12.646341463414634, 'STDEV': 3.739584552153354}"
PF,"{'AVG': 19.01219512195122, 'STDEV': 4.161830978939421}"
