,0
Team_ID,1610612756
Season,2001-02
FGM,"{'AVG': 37.76829268292683, 'STDEV': 4.140432316211797}"
FGA,"{'AVG': 84.5609756097561, 'STDEV': 7.223243621749916}"
FGP,"{'AVG': 0.448439024390243, 'STDEV': 0.050268930482714004}"
FG3M,"{'AVG': 4.365853658536586, 'STDEV': 2.202760306064667}"
FG3A,"{'AVG': 13.365853658536585, 'STDEV': 4.347589640481664}"
FG3P,"{'AVG': 0.3234104145494, 'STDEV': 0.119408092453644}"
FTM,"{'AVG': 15.24390243902439, 'STDEV': 4.995209991037602}"
FTA,"{'AVG': 19.878048780487806, 'STDEV': 19.878048780487806}"
FTP,"{'AVG': 0.7643536585365851, 'STDEV': 0.7643536585365851}"
OREB,"{'AVG': 13.073170731707316, 'STDEV': 3.7966212653119893}"
DREB,"{'AVG': 29.634146341463413, 'STDEV': 4.793287990106328}"
REB,"{'AVG': 42.707317073170735, 'STDEV': 5.625093260961965}"
AST,"{'AVG': 22.414634146341463, 'STDEV': 4.796992935425623}"
BLK,"{'AVG': 4.890243902439025, 'STDEV': 2.638771214035822}"
TOV,"{'AVG': 14.231707317073171, 'STDEV': 3.07237303422408}"
PF,"{'AVG': 21.76829268292683, 'STDEV': 4.47019976488417}"
