,0
Team_ID,1610612752
Season,2001-02
FGM,"{'AVG': 34.353658536585364, 'STDEV': 4.66500486607268}"
FGA,"{'AVG': 79.51219512195122, 'STDEV': 7.221784435345131}"
FGP,"{'AVG': 0.432939024390243, 'STDEV': 0.050853298462032}"
FG3M,"{'AVG': 5.7804878048780495, 'STDEV': 2.784544603341377}"
FG3A,"{'AVG': 16.390243902439025, 'STDEV': 4.6976645039454485}"
FG3P,"{'AVG': 0.35047858242136803, 'STDEV': 0.123119125615453}"
FTM,"{'AVG': 17.146341463414632, 'STDEV': 5.728684487387776}"
FTA,"{'AVG': 21.78048780487805, 'STDEV': 21.78048780487805}"
FTP,"{'AVG': 0.791743902439024, 'STDEV': 0.791743902439024}"
OREB,"{'AVG': 10.682926829268293, 'STDEV': 3.606845510662998}"
DREB,"{'AVG': 29.975609756097562, 'STDEV': 4.700868345726591}"
REB,"{'AVG': 40.65853658536585, 'STDEV': 5.676939516713452}"
AST,"{'AVG': 20.975609756097562, 'STDEV': 4.374379983596681}"
BLK,"{'AVG': 3.512195121951219, 'STDEV': 1.92606489666074}"
TOV,"{'AVG': 14.085365853658537, 'STDEV': 3.935282691814991}"
PF,"{'AVG': 21.951219512195124, 'STDEV': 4.097281360098682}"
