,0
Team_ID,1610612753
Season,2015-16
FGM,"{'AVG': 39.53658536585366, 'STDEV': 4.999247158017264}"
FGA,"{'AVG': 86.82926829268293, 'STDEV': 7.396704100933064}"
FGP,"{'AVG': 0.456731707317073, 'STDEV': 0.056212570269543}"
FG3M,"{'AVG': 7.7560975609756095, 'STDEV': 2.773601196153228}"
FG3A,"{'AVG': 22.170731707317074, 'STDEV': 5.108223527425432}"
FG3P,"{'AVG': 0.349743385316844, 'STDEV': 0.09971668385054701}"
FTM,"{'AVG': 15.231707317073171, 'STDEV': 6.004728138062918}"
FTA,"{'AVG': 20.109756097560975, 'STDEV': 20.109756097560975}"
FTP,"{'AVG': 0.758158536585365, 'STDEV': 0.758158536585365}"
OREB,"{'AVG': 10.28048780487805, 'STDEV': 4.234701995852436}"
DREB,"{'AVG': 33.03658536585366, 'STDEV': 5.33899033769083}"
REB,"{'AVG': 43.31707317073171, 'STDEV': 6.7893854133401685}"
AST,"{'AVG': 23.573170731707318, 'STDEV': 4.881384360930083}"
BLK,"{'AVG': 5.085365853658536, 'STDEV': 2.520049085903455}"
TOV,"{'AVG': 13.597560975609756, 'STDEV': 3.398836969192499}"
PF,"{'AVG': 20.74390243902439, 'STDEV': 4.32281051583301}"
