,0
Team_ID,1610612741
Season,2000-01
FGM,"{'AVG': 33.18292682926829, 'STDEV': 4.931951880605146}"
FGA,"{'AVG': 78.1829268292683, 'STDEV': 6.6687553187047435}"
FGP,"{'AVG': 0.42556097560975603, 'STDEV': 0.059479241645222}"
FG3M,"{'AVG': 4.012195121951219, 'STDEV': 1.978239037591881}"
FG3A,"{'AVG': 11.585365853658537, 'STDEV': 3.705022348817802}"
FG3P,"{'AVG': 0.34765946468685605, 'STDEV': 0.14735562417755102}"
FTM,"{'AVG': 17.195121951219512, 'STDEV': 5.806422634643881}"
FTA,"{'AVG': 23.28048780487805, 'STDEV': 23.28048780487805}"
FTP,"{'AVG': 0.736853658536585, 'STDEV': 0.736853658536585}"
OREB,"{'AVG': 11.292682926829269, 'STDEV': 3.7432665634296063}"
DREB,"{'AVG': 27.5609756097561, 'STDEV': 4.901744615032765}"
REB,"{'AVG': 38.853658536585364, 'STDEV': 5.833326880884288}"
AST,"{'AVG': 22.073170731707318, 'STDEV': 5.7558997919469785}"
BLK,"{'AVG': 4.621951219512195, 'STDEV': 2.355137509562682}"
TOV,"{'AVG': 14.597560975609756, 'STDEV': 3.516661422139536}"
PF,"{'AVG': 23.195121951219512, 'STDEV': 4.229347859691566}"
