,0
Team_ID,1610612761
Season,2000-01
FGM,"{'AVG': 37.170731707317074, 'STDEV': 4.898487743584132}"
FGA,"{'AVG': 85.02439024390245, 'STDEV': 7.109332433379291}"
FGP,"{'AVG': 0.438634146341463, 'STDEV': 0.05685622156583801}"
FG3M,"{'AVG': 5.23170731707317, 'STDEV': 2.300288658685934}"
FG3A,"{'AVG': 14.195121951219512, 'STDEV': 3.92031437511829}"
FG3P,"{'AVG': 0.361823626412182, 'STDEV': 0.11299265462813}"
FTM,"{'AVG': 18.073170731707318, 'STDEV': 7.2602086284428164}"
FTA,"{'AVG': 24.195121951219512, 'STDEV': 24.195121951219512}"
FTP,"{'AVG': 0.745182926829268, 'STDEV': 0.745182926829268}"
OREB,"{'AVG': 13.634146341463415, 'STDEV': 3.983026317385619}"
DREB,"{'AVG': 30.841463414634145, 'STDEV': 4.942807499804789}"
REB,"{'AVG': 44.47560975609756, 'STDEV': 5.979854265031444}"
AST,"{'AVG': 24.4390243902439, 'STDEV': 4.976729951659367}"
BLK,"{'AVG': 6.329268292682927, 'STDEV': 4.049248910840775}"
TOV,"{'AVG': 12.71951219512195, 'STDEV': 3.457946262118787}"
PF,"{'AVG': 21.28048780487805, 'STDEV': 4.181896286283552}"
