,0
Team_ID,1610612758
Season,2000-01
FGM,"{'AVG': 38.19512195121951, 'STDEV': 4.977576941360778}"
FGA,"{'AVG': 84.98780487804878, 'STDEV': 7.513763342453345}"
FGP,"{'AVG': 0.45132926829268205, 'STDEV': 0.06093470597328401}"
FG3M,"{'AVG': 5.841463414634147, 'STDEV': 2.7373480551782583}"
FG3A,"{'AVG': 16.5, 'STDEV': 4.283906144146}"
FG3P,"{'AVG': 0.34692646916852304, 'STDEV': 0.127430385936104}"
FTM,"{'AVG': 19.51219512195122, 'STDEV': 6.389118647924756}"
FTA,"{'AVG': 25.304878048780488, 'STDEV': 25.304878048780488}"
FTP,"{'AVG': 0.7752195121951221, 'STDEV': 0.7752195121951221}"
OREB,"{'AVG': 12.036585365853659, 'STDEV': 4.140868644934057}"
DREB,"{'AVG': 32.98780487804878, 'STDEV': 4.942868419083293}"
REB,"{'AVG': 45.02439024390244, 'STDEV': 6.097916279922239}"
AST,"{'AVG': 22.585365853658537, 'STDEV': 4.817537969411436}"
BLK,"{'AVG': 5.268292682926829, 'STDEV': 2.8023305137583012}"
TOV,"{'AVG': 14.365853658536585, 'STDEV': 3.920544794348436}"
PF,"{'AVG': 19.463414634146343, 'STDEV': 3.985142536451184}"
