,0
Team_ID,1610612746
Season,2000-01
FGM,"{'AVG': 35.31707317073171, 'STDEV': 5.197050561404018}"
FGA,"{'AVG': 78.86585365853658, 'STDEV': 7.98263887047037}"
FGP,"{'AVG': 0.44941463414634103, 'STDEV': 0.059891867833459005}"
FG3M,"{'AVG': 4.390243902439025, 'STDEV': 2.220866795306108}"
FG3A,"{'AVG': 12.963414634146341, 'STDEV': 3.152287517246505}"
FG3P,"{'AVG': 0.33489277566761905, 'STDEV': 0.14652961194121902}"
FTM,"{'AVG': 17.426829268292682, 'STDEV': 5.4252052081684194}"
FTA,"{'AVG': 25.134146341463413, 'STDEV': 25.134146341463413}"
FTP,"{'AVG': 0.6925487804878041, 'STDEV': 0.6925487804878041}"
OREB,"{'AVG': 11.731707317073171, 'STDEV': 3.784467216241937}"
DREB,"{'AVG': 31.20731707317073, 'STDEV': 4.700243767983777}"
REB,"{'AVG': 42.9390243902439, 'STDEV': 6.3447218483343395}"
AST,"{'AVG': 19.329268292682926, 'STDEV': 4.4278994213007}"
BLK,"{'AVG': 6.256097560975609, 'STDEV': 2.779159547926942}"
TOV,"{'AVG': 14.78048780487805, 'STDEV': 4.455609282701565}"
PF,"{'AVG': 21.646341463414632, 'STDEV': 4.67029475692179}"
