,0
Team_ID,1610612738
Season,2000-01
FGM,"{'AVG': 33.81707317073171, 'STDEV': 3.492948977938438}"
FGA,"{'AVG': 79.08536585365853, 'STDEV': 5.689933106231349}"
FGP,"{'AVG': 0.42854878048780404, 'STDEV': 0.042209691836285}"
FG3M,"{'AVG': 7.219512195121951, 'STDEV': 3.201174129673582}"
FG3A,"{'AVG': 19.914634146341463, 'STDEV': 5.398219229723165}"
FG3P,"{'AVG': 0.356807999096027, 'STDEV': 0.11559009783694801}"
FTM,"{'AVG': 19.76829268292683, 'STDEV': 6.884046291635313}"
FTA,"{'AVG': 26.70731707317073, 'STDEV': 26.70731707317073}"
FTP,"{'AVG': 0.7364024390243901, 'STDEV': 0.7364024390243901}"
OREB,"{'AVG': 10.939024390243903, 'STDEV': 3.497256635522536}"
DREB,"{'AVG': 28.865853658536587, 'STDEV': 5.158625032431933}"
REB,"{'AVG': 39.80487804878049, 'STDEV': 6.299988289995474}"
AST,"{'AVG': 20.829268292682926, 'STDEV': 4.165718049196559}"
BLK,"{'AVG': 4.097560975609756, 'STDEV': 2.082316825181414}"
TOV,"{'AVG': 15.097560975609756, 'STDEV': 3.911394421864991}"
PF,"{'AVG': 23.804878048780488, 'STDEV': 4.158700605439761}"
