,0
Team_ID,1610612756
Season,2009-10
FGM,"{'AVG': 40.71951219512195, 'STDEV': 4.643525667346552}"
FGA,"{'AVG': 82.78048780487805, 'STDEV': 6.442575189142202}"
FGP,"{'AVG': 0.49295121951219506, 'STDEV': 0.051193629628536005}"
FG3M,"{'AVG': 8.902439024390244, 'STDEV': 3.324468791122824}"
FG3A,"{'AVG': 21.585365853658537, 'STDEV': 5.293721460516759}"
FG3P,"{'AVG': 0.409503070371719, 'STDEV': 0.10995617895281501}"
FTM,"{'AVG': 19.890243902439025, 'STDEV': 5.925475649108031}"
FTA,"{'AVG': 25.817073170731707, 'STDEV': 25.817073170731707}"
FTP,"{'AVG': 0.767743902439024, 'STDEV': 0.767743902439024}"
OREB,"{'AVG': 11.097560975609756, 'STDEV': 3.660296675885075}"
DREB,"{'AVG': 31.902439024390244, 'STDEV': 4.636435828046593}"
REB,"{'AVG': 43, 'STDEV': 5.8288342438240015}"
AST,"{'AVG': 23.317073170731707, 'STDEV': 4.961277336472409}"
BLK,"{'AVG': 5.097560975609756, 'STDEV': 2.874364153401501}"
TOV,"{'AVG': 14.109756097560975, 'STDEV': 3.485440962806467}"
PF,"{'AVG': 20.890243902439025, 'STDEV': 4.118630053795083}"
