,0
Team_ID,1610612738
Season,2009-10
FGM,"{'AVG': 37.0609756097561, 'STDEV': 4.497866602591324}"
FGA,"{'AVG': 76.7560975609756, 'STDEV': 6.070696617560715}"
FGP,"{'AVG': 0.48442682926829206, 'STDEV': 0.059180834086346}"
FG3M,"{'AVG': 6.085365853658536, 'STDEV': 2.811797103440858}"
FG3A,"{'AVG': 17.475609756097562, 'STDEV': 4.346775759128892}"
FG3P,"{'AVG': 0.341623212134048, 'STDEV': 0.125245250404941}"
FTM,"{'AVG': 19.01219512195122, 'STDEV': 6.352784754286651}"
FTA,"{'AVG': 25.48780487804878, 'STDEV': 25.48780487804878}"
FTP,"{'AVG': 0.7406341463414631, 'STDEV': 0.7406341463414631}"
OREB,"{'AVG': 8.731707317073171, 'STDEV': 3.4176332164479}"
DREB,"{'AVG': 29.865853658536587, 'STDEV': 3.924479033199628}"
REB,"{'AVG': 38.59756097560975, 'STDEV': 4.60772233200186}"
AST,"{'AVG': 23.536585365853657, 'STDEV': 4.815599963778264}"
BLK,"{'AVG': 4.902439024390244, 'STDEV': 2.4726142315798842}"
TOV,"{'AVG': 14.048780487804878, 'STDEV': 3.344065829526561}"
PF,"{'AVG': 22.146341463414632, 'STDEV': 4.248810875677088}"
