,0
Team_ID,1610612747
Season,2010-11
FGM,"{'AVG': 38.146341463414636, 'STDEV': 4.999066459071151}"
FGA,"{'AVG': 82.40243902439025, 'STDEV': 7.592816221616879}"
FGP,"{'AVG': 0.46371951219512203, 'STDEV': 0.051428549113859}"
FG3M,"{'AVG': 6.390243902439025, 'STDEV': 2.478331266336908}"
FG3A,"{'AVG': 18.134146341463413, 'STDEV': 3.9558120863193693}"
FG3P,"{'AVG': 0.35155264987997503, 'STDEV': 0.11045926445368101}"
FTM,"{'AVG': 18.79268292682927, 'STDEV': 6.165891452531115}"
FTA,"{'AVG': 24.134146341463413, 'STDEV': 24.134146341463413}"
FTP,"{'AVG': 0.774134146341463, 'STDEV': 0.774134146341463}"
OREB,"{'AVG': 12.060975609756097, 'STDEV': 3.891578628477137}"
DREB,"{'AVG': 31.902439024390244, 'STDEV': 5.117410987236169}"
REB,"{'AVG': 43.96341463414634, 'STDEV': 6.362399426940386}"
AST,"{'AVG': 21.963414634146343, 'STDEV': 4.746526012146223}"
BLK,"{'AVG': 5.146341463414634, 'STDEV': 2.460161347812762}"
TOV,"{'AVG': 12.573170731707316, 'STDEV': 4.106695790555934}"
PF,"{'AVG': 18.963414634146343, 'STDEV': 3.346068715768909}"
