,0
Team_ID,1610612759
Season,2010-11
FGM,"{'AVG': 38.390243902439025, 'STDEV': 4.7160249466899415}"
FGA,"{'AVG': 80.82926829268293, 'STDEV': 6.539160058662687}"
FGP,"{'AVG': 0.47663414634146306, 'STDEV': 0.060104130257026}"
FG3M,"{'AVG': 8.353658536585366, 'STDEV': 3.060589595500631}"
FG3A,"{'AVG': 21.0609756097561, 'STDEV': 5.317911873165613}"
FG3P,"{'AVG': 0.39553771507356106, 'STDEV': 0.107818858949731}"
FTM,"{'AVG': 18.548780487804876, 'STDEV': 5.850297953843922}"
FTA,"{'AVG': 24.195121951219512, 'STDEV': 24.195121951219512}"
FTP,"{'AVG': 0.761, 'STDEV': 0.761}"
OREB,"{'AVG': 10.109756097560975, 'STDEV': 3.520683496915931}"
DREB,"{'AVG': 31.74390243902439, 'STDEV': 5.153953236659505}"
REB,"{'AVG': 41.853658536585364, 'STDEV': 5.977575277899135}"
AST,"{'AVG': 22.390243902439025, 'STDEV': 4.948515421623821}"
BLK,"{'AVG': 4.536585365853658, 'STDEV': 2.299732254685311}"
TOV,"{'AVG': 12.853658536585366, 'STDEV': 3.289046359666786}"
PF,"{'AVG': 18.975609756097562, 'STDEV': 3.471135331243205}"
