,0
Team_ID,1610612760
Season,2010-11
FGM,"{'AVG': 37.390243902439025, 'STDEV': 4.545398154641859}"
FGA,"{'AVG': 80.59756097560975, 'STDEV': 7.415132602225111}"
FGP,"{'AVG': 0.46609756097560906, 'STDEV': 0.058381802034474004}"
FG3M,"{'AVG': 5.939024390243903, 'STDEV': 2.321916837844738}"
FG3A,"{'AVG': 17.109756097560975, 'STDEV': 4.100605488446303}"
FG3P,"{'AVG': 0.34929102509746, 'STDEV': 0.118629788888157}"
FTM,"{'AVG': 24.109756097560975, 'STDEV': 6.722003848722962}"
FTA,"{'AVG': 29.28048780487805, 'STDEV': 29.28048780487805}"
FTP,"{'AVG': 0.822243902439024, 'STDEV': 0.822243902439024}"
OREB,"{'AVG': 11.012195121951219, 'STDEV': 4.370196205553892}"
DREB,"{'AVG': 31.75609756097561, 'STDEV': 5.078545956019438}"
REB,"{'AVG': 42.76829268292683, 'STDEV': 6.764648085137043}"
AST,"{'AVG': 20.390243902439025, 'STDEV': 4.811909345022561}"
BLK,"{'AVG': 5.939024390243903, 'STDEV': 2.602693576134083}"
TOV,"{'AVG': 13.463414634146341, 'STDEV': 3.352519310487354}"
PF,"{'AVG': 22.390243902439025, 'STDEV': 3.650658988578402}"
