,0
Team_ID,1610612765
Season,2010-11
FGM,"{'AVG': 37.26829268292683, 'STDEV': 4.9914711962909895}"
FGA,"{'AVG': 81.0609756097561, 'STDEV': 6.950171080540427}"
FGP,"{'AVG': 0.46036585365853605, 'STDEV': 0.053487857672541}"
FG3M,"{'AVG': 5.7560975609756095, 'STDEV': 2.5846697886365053}"
FG3A,"{'AVG': 15.317073170731707, 'STDEV': 4.416238410489593}"
FG3P,"{'AVG': 0.37007962094094504, 'STDEV': 0.12466134189036}"
FTM,"{'AVG': 16.670731707317074, 'STDEV': 5.008769785749447}"
FTA,"{'AVG': 22.609756097560975, 'STDEV': 22.609756097560975}"
FTP,"{'AVG': 0.740926829268292, 'STDEV': 0.740926829268292}"
OREB,"{'AVG': 11.353658536585366, 'STDEV': 3.639196598421589}"
DREB,"{'AVG': 27.26829268292683, 'STDEV': 4.172362863402034}"
REB,"{'AVG': 38.6219512195122, 'STDEV': 5.505642994938424}"
AST,"{'AVG': 21.097560975609756, 'STDEV': 4.849868920457417}"
BLK,"{'AVG': 4, 'STDEV': 1.8986674989594512}"
TOV,"{'AVG': 12.207317073170731, 'STDEV': 3.416509679782948}"
PF,"{'AVG': 19.865853658536587, 'STDEV': 3.780267790899525}"
