,0
Team_ID,1610612763
Season,2010-11
FGM,"{'AVG': 39.02439024390244, 'STDEV': 4.79448142062759}"
FGA,"{'AVG': 82.9390243902439, 'STDEV': 6.3447218483343395}"
FGP,"{'AVG': 0.47145121951219504, 'STDEV': 0.053048115229088005}"
FG3M,"{'AVG': 3.768292682926829, 'STDEV': 2.144754039182063}"
FG3A,"{'AVG': 11.292682926829269, 'STDEV': 3.948707570645152}"
FG3P,"{'AVG': 0.32861537531787804, 'STDEV': 0.149519372760508}"
FTM,"{'AVG': 18.121951219512194, 'STDEV': 5.567520989893054}"
FTA,"{'AVG': 24.158536585365855, 'STDEV': 24.158536585365855}"
FTP,"{'AVG': 0.749365853658536, 'STDEV': 0.749365853658536}"
OREB,"{'AVG': 11.829268292682928, 'STDEV': 3.2003274448548042}"
DREB,"{'AVG': 29.158536585365855, 'STDEV': 4.206020118756653}"
REB,"{'AVG': 40.98780487804878, 'STDEV': 4.8189284768671445}"
AST,"{'AVG': 20.621951219512194, 'STDEV': 4.479418623824707}"
BLK,"{'AVG': 5.378048780487805, 'STDEV': 2.296751564857964}"
TOV,"{'AVG': 13.426829268292684, 'STDEV': 3.8006837844985313}"
PF,"{'AVG': 20.79268292682927, 'STDEV': 4.051330538575114}"
