,0
Team_ID,1610612753
Season,2010-11
FGM,"{'AVG': 36.048780487804876, 'STDEV': 4.903771385685855}"
FGA,"{'AVG': 78.1829268292683, 'STDEV': 6.777100237137531}"
FGP,"{'AVG': 0.46134146341463406, 'STDEV': 0.051743006806596006}"
FG3M,"{'AVG': 9.390243902439025, 'STDEV': 3.336132519353923}"
FG3A,"{'AVG': 25.646341463414632, 'STDEV': 4.503419691634381}"
FG3P,"{'AVG': 0.36131369697084503, 'STDEV': 0.09939034033124601}"
FTM,"{'AVG': 17.71951219512195, 'STDEV': 5.5204991504591145}"
FTA,"{'AVG': 25.621951219512194, 'STDEV': 25.621951219512194}"
FTP,"{'AVG': 0.699560975609756, 'STDEV': 0.699560975609756}"
OREB,"{'AVG': 10.536585365853659, 'STDEV': 4.199338930782519}"
DREB,"{'AVG': 32.670731707317074, 'STDEV': 5.4975974057557515}"
REB,"{'AVG': 43.207317073170735, 'STDEV': 7.10718260387969}"
AST,"{'AVG': 19.951219512195124, 'STDEV': 4.737302558573436}"
BLK,"{'AVG': 4.682926829268292, 'STDEV': 2.433703922974897}"
TOV,"{'AVG': 14.390243902439025, 'STDEV': 3.85463036469376}"
PF,"{'AVG': 20, 'STDEV': 4.405383911466447}"
