,0
Team_ID,1610612766
Season,1995-96
FGM,"{'AVG': 37.90243902439025, 'STDEV': 4.350705224791286}"
FGA,"{'AVG': 80.70731707317073, 'STDEV': 8.529524330560928}"
FGP,"{'AVG': 0.47189024390243905, 'STDEV': 0.050935933154891005}"
FG3M,"{'AVG': 7.121951219512195, 'STDEV': 2.709791317656289}"
FG3A,"{'AVG': 18.536585365853657, 'STDEV': 4.524815314289101}"
FG3P,"{'AVG': 0.381386258630421, 'STDEV': 0.11157639191024601}"
FTM,"{'AVG': 19.890243902439025, 'STDEV': 6.063462926070098}"
FTA,"{'AVG': 25.841463414634145, 'STDEV': 25.841463414634145}"
FTP,"{'AVG': 0.7733292682926821, 'STDEV': 0.7733292682926821}"
OREB,"{'AVG': 12.036585365853659, 'STDEV': 3.6292539856866872}"
DREB,"{'AVG': 27.51219512195122, 'STDEV': 5.294403992941013}"
REB,"{'AVG': 39.548780487804876, 'STDEV': 6.584966865359777}"
AST,"{'AVG': 23.25609756097561, 'STDEV': 4.956130947187836}"
BLK,"{'AVG': 3.378048780487804, 'STDEV': 1.997778049081918}"
TOV,"{'AVG': 14.585365853658537, 'STDEV': 3.647936062874407}"
PF,"{'AVG': 22.134146341463413, 'STDEV': 4.463188792841056}"
