,0
Team_ID,1610612743
Season,1995-96
FGM,"{'AVG': 36.59756097560975, 'STDEV': 5.239592284810993}"
FGA,"{'AVG': 81.1829268292683, 'STDEV': 7.967725094389561}"
FGP,"{'AVG': 0.45160975609756104, 'STDEV': 0.053643256015916005}"
FG3M,"{'AVG': 4.841463414634147, 'STDEV': 2.650271414915661}"
FG3A,"{'AVG': 14, 'STDEV': 5.115939748098373}"
FG3P,"{'AVG': 0.34006666548559805, 'STDEV': 0.13094082791979}"
FTM,"{'AVG': 19.682926829268293, 'STDEV': 6.809358209783639}"
FTA,"{'AVG': 26.5, 'STDEV': 26.5}"
FTP,"{'AVG': 0.7353536585365851, 'STDEV': 0.7353536585365851}"
OREB,"{'AVG': 12.890243902439025, 'STDEV': 4.286084568394736}"
DREB,"{'AVG': 30.329268292682926, 'STDEV': 5.665696819072558}"
REB,"{'AVG': 43.21951219512195, 'STDEV': 7.34851020467717}"
AST,"{'AVG': 22.573170731707318, 'STDEV': 5.388672361755042}"
BLK,"{'AVG': 7.2804878048780495, 'STDEV': 3.031824574894771}"
TOV,"{'AVG': 14.878048780487806, 'STDEV': 3.8948850405464563}"
PF,"{'AVG': 22.951219512195124, 'STDEV': 4.726866837490523}"
