,0
Team_ID,1610612761
Season,1995-96
FGM,"{'AVG': 37.609756097560975, 'STDEV': 5.003100514140406}"
FGA,"{'AVG': 80.46341463414635, 'STDEV': 7.781261318224652}"
FGP,"{'AVG': 0.46923170731707303, 'STDEV': 0.059030918615625004}"
FG3M,"{'AVG': 5.048780487804878, 'STDEV': 2.398057027423465}"
FG3A,"{'AVG': 14.24390243902439, 'STDEV': 3.4589692877466}"
FG3P,"{'AVG': 0.349367552053363, 'STDEV': 0.13346451664932302}"
FTM,"{'AVG': 17.21951219512195, 'STDEV': 6.230202006601337}"
FTA,"{'AVG': 23.817073170731707, 'STDEV': 23.817073170731707}"
FTP,"{'AVG': 0.7164390243902431, 'STDEV': 0.7164390243902431}"
OREB,"{'AVG': 13.060975609756097, 'STDEV': 4.318629071953988}"
DREB,"{'AVG': 26.98780487804878, 'STDEV': 5.112303972972917}"
REB,"{'AVG': 40.048780487804876, 'STDEV': 6.497677531952798}"
AST,"{'AVG': 23.5, 'STDEV': 5.29208586849327}"
BLK,"{'AVG': 6.012195121951219, 'STDEV': 3.156392308617836}"
TOV,"{'AVG': 17.951219512195124, 'STDEV': 4.674338770229842}"
PF,"{'AVG': 24.23170731707317, 'STDEV': 4.220171374695304}"
