,0
Team_ID,1610612737
Season,2006-07
FGM,"{'AVG': 34.52439024390244, 'STDEV': 5.058242533216642}"
FGA,"{'AVG': 77.70731707317073, 'STDEV': 6.566822342351071}"
FGP,"{'AVG': 0.44478048780487806, 'STDEV': 0.057524664466481}"
FG3M,"{'AVG': 4.158536585365853, 'STDEV': 2.7687386805838203}"
FG3A,"{'AVG': 12.658536585365853, 'STDEV': 5.810207093895503}"
FG3P,"{'AVG': 0.323331380594971, 'STDEV': 0.16205866200118502}"
FTM,"{'AVG': 20.451219512195124, 'STDEV': 6.043366813709612}"
FTA,"{'AVG': 26.865853658536587, 'STDEV': 26.865853658536587}"
FTP,"{'AVG': 0.764853658536585, 'STDEV': 0.764853658536585}"
OREB,"{'AVG': 11.902439024390244, 'STDEV': 3.448419770849999}"
DREB,"{'AVG': 28.195121951219512, 'STDEV': 4.25553821983775}"
REB,"{'AVG': 40.09756097560975, 'STDEV': 5.4628029618447504}"
AST,"{'AVG': 19.182926829268293, 'STDEV': 5.004018258891617}"
BLK,"{'AVG': 5.439024390243903, 'STDEV': 2.288444190757683}"
TOV,"{'AVG': 15.195121951219512, 'STDEV': 3.4621017822092393}"
PF,"{'AVG': 24.024390243902438, 'STDEV': 3.761322363199363}"
