,0
Team_ID,1610612737
Season,1996-97
FGM,"{'AVG': 34.292682926829265, 'STDEV': 6.031783727493921}"
FGA,"{'AVG': 76.91463414634147, 'STDEV': 8.352128758751881}"
FGP,"{'AVG': 0.44635365853658504, 'STDEV': 0.06402302285573201}"
FG3M,"{'AVG': 8.036585365853659, 'STDEV': 3.179584264893914}"
FG3A,"{'AVG': 22.365853658536587, 'STDEV': 4.920383893288422}"
FG3P,"{'AVG': 0.35650634182956203, 'STDEV': 0.12083605330737401}"
FTM,"{'AVG': 18.182926829268293, 'STDEV': 6.639068893478793}"
FTA,"{'AVG': 23.841463414634145, 'STDEV': 23.841463414634145}"
FTP,"{'AVG': 0.7636829268292681, 'STDEV': 0.7636829268292681}"
OREB,"{'AVG': 12.451219512195122, 'STDEV': 3.631659278031646}"
DREB,"{'AVG': 28.658536585365855, 'STDEV': 5.228647376476432}"
REB,"{'AVG': 41.109756097560975, 'STDEV': 6.670380627636998}"
AST,"{'AVG': 18.98780487804878, 'STDEV': 5.392024064951208}"
BLK,"{'AVG': 5.2073170731707314, 'STDEV': 2.590284816209913}"
TOV,"{'AVG': 14.365853658536585, 'STDEV': 4.077981209342667}"
PF,"{'AVG': 19.402439024390244, 'STDEV': 3.617037038887011}"
