,0
Team_ID,1610612748
Season,1996-97
FGM,"{'AVG': 34.41463414634146, 'STDEV': 4.776359529843394}"
FGA,"{'AVG': 76.03658536585365, 'STDEV': 5.984434793801723}"
FGP,"{'AVG': 0.452987804878048, 'STDEV': 0.056072152350306007}"
FG3M,"{'AVG': 8.268292682926829, 'STDEV': 2.952499591736645}"
FG3A,"{'AVG': 22.74390243902439, 'STDEV': 4.463323723082499}"
FG3P,"{'AVG': 0.36775234522926403, 'STDEV': 0.123623852130851}"
FTM,"{'AVG': 17.73170731707317, 'STDEV': 5.858514496936062}"
FTA,"{'AVG': 24.658536585365855, 'STDEV': 24.658536585365855}"
FTP,"{'AVG': 0.7223780487804871, 'STDEV': 0.7223780487804871}"
OREB,"{'AVG': 11.670731707317072, 'STDEV': 3.583414738261487}"
DREB,"{'AVG': 29.29268292682927, 'STDEV': 4.558231747471329}"
REB,"{'AVG': 40.96341463414634, 'STDEV': 5.963769464107224}"
AST,"{'AVG': 21.158536585365855, 'STDEV': 4.636062378267596}"
BLK,"{'AVG': 5.353658536585366, 'STDEV': 2.491327928018756}"
TOV,"{'AVG': 15.25609756097561, 'STDEV': 3.498892154861593}"
PF,"{'AVG': 23.402439024390244, 'STDEV': 4.827543802276965}"
