,0
Team_ID,1610612739
Season,1996-97
FGM,"{'AVG': 33.01219512195122, 'STDEV': 4.793240874910647}"
FGA,"{'AVG': 72.9390243902439, 'STDEV': 6.008938939994561}"
FGP,"{'AVG': 0.453012195121951, 'STDEV': 0.056390064334204}"
FG3M,"{'AVG': 5.902439024390244, 'STDEV': 2.570534632854654}"
FG3A,"{'AVG': 15.695121951219512, 'STDEV': 3.8383671438025972}"
FG3P,"{'AVG': 0.36888396251895, 'STDEV': 0.113212311677058}"
FTM,"{'AVG': 15.634146341463415, 'STDEV': 5.982509888910538}"
FTA,"{'AVG': 21.621951219512194, 'STDEV': 21.621951219512194}"
FTP,"{'AVG': 0.7231585365853651, 'STDEV': 0.7231585365853651}"
OREB,"{'AVG': 11.109756097560975, 'STDEV': 3.134854231202511}"
DREB,"{'AVG': 26.353658536585368, 'STDEV': 4.859436413035326}"
REB,"{'AVG': 37.46341463414634, 'STDEV': 6.51720443353016}"
AST,"{'AVG': 20.926829268292682, 'STDEV': 4.396352269681399}"
BLK,"{'AVG': 3.841463414634146, 'STDEV': 2.241414413427169}"
TOV,"{'AVG': 13.670731707317072, 'STDEV': 3.170289849461642}"
PF,"{'AVG': 22.98780487804878, 'STDEV': 4.02613039855253}"
