,0
Team_ID,1610612751
Season,1990-91
FGM,"{'AVG': 40.3780487804878, 'STDEV': 5.920544360821502}"
FGA,"{'AVG': 90.96341463414635, 'STDEV': 7.95891475006458}"
FGP,"{'AVG': 0.44436585365853604, 'STDEV': 0.054984961399699}"
FG3M,"{'AVG': 1.963414634146341, 'STDEV': 1.510826132860368}"
FG3A,"{'AVG': 7.146341463414634, 'STDEV': 3.075678992463178}"
FG3P,"{'AVG': 0.27160811749226305, 'STDEV': 0.203210541315196}"
FTM,"{'AVG': 20.21951219512195, 'STDEV': 7.123295794011732}"
FTA,"{'AVG': 27.378048780487806, 'STDEV': 27.378048780487806}"
FTP,"{'AVG': 0.741731707317073, 'STDEV': 0.741731707317073}"
OREB,"{'AVG': 17.073170731707318, 'STDEV': 4.847757500670349}"
DREB,"{'AVG': 28.634146341463413, 'STDEV': 5.2246145705131735}"
REB,"{'AVG': 45.707317073170735, 'STDEV': 6.82495024153715}"
AST,"{'AVG': 21.73170731707317, 'STDEV': 5.468312264711137}"
BLK,"{'AVG': 7.3170731707317085, 'STDEV': 3.661201478501953}"
TOV,"{'AVG': 16.926829268292682, 'STDEV': 3.911933271556162}"
PF,"{'AVG': 23.829268292682926, 'STDEV': 4.674081088930295}"
