,0
Team_ID,1610612749
Season,1992-93
FGM,"{'AVG': 39.853658536585364, 'STDEV': 4.458649386428481}"
FGA,"{'AVG': 84.4390243902439, 'STDEV': 7.911700291692716}"
FGP,"{'AVG': 0.47419512195121905, 'STDEV': 0.053970371163863}"
FG3M,"{'AVG': 3.804878048780487, 'STDEV': 1.92731518234688}"
FG3A,"{'AVG': 11.414634146341463, 'STDEV': 3.701688702094585}"
FG3P,"{'AVG': 0.34100433052143303, 'STDEV': 0.16497868193877102}"
FTM,"{'AVG': 18.829268292682926, 'STDEV': 6.875982314646244}"
FTA,"{'AVG': 25.378048780487806, 'STDEV': 25.378048780487806}"
FTP,"{'AVG': 0.7375853658536581, 'STDEV': 0.7375853658536581}"
OREB,"{'AVG': 12.804878048780488, 'STDEV': 4.164633650362828}"
DREB,"{'AVG': 25.76829268292683, 'STDEV': 4.614252692828941}"
REB,"{'AVG': 38.573170731707314, 'STDEV': 6.41377854734956}"
AST,"{'AVG': 25.414634146341463, 'STDEV': 4.469239777130592}"
BLK,"{'AVG': 4.7926829268292686, 'STDEV': 2.100780600822306}"
TOV,"{'AVG': 16.134146341463413, 'STDEV': 4.305500917565724}"
PF,"{'AVG': 24.121951219512194, 'STDEV': 4.475972186010182}"
