,0
Team_ID,1610612762
Season,1992-93
FGM,"{'AVG': 40.68292682926829, 'STDEV': 4.094193566203595}"
FGA,"{'AVG': 83.26829268292683, 'STDEV': 6.522607939546283}"
FGP,"{'AVG': 0.49017073170731706, 'STDEV': 0.049921371478778}"
FG3M,"{'AVG': 1.585365853658536, 'STDEV': 1.431145785571956}"
FG3A,"{'AVG': 5.048780487804878, 'STDEV': 3.030309600058575}"
FG3P,"{'AVG': 0.30190757751733305, 'STDEV': 0.27186832581623}"
FTM,"{'AVG': 23.25609756097561, 'STDEV': 7.390034958085271}"
FTA,"{'AVG': 30.378048780487806, 'STDEV': 30.378048780487806}"
FTP,"{'AVG': 0.769024390243902, 'STDEV': 0.769024390243902}"
OREB,"{'AVG': 12.695121951219512, 'STDEV': 3.74393014730607}"
DREB,"{'AVG': 30.036585365853657, 'STDEV': 5.271505329907197}"
REB,"{'AVG': 42.73170731707317, 'STDEV': 6.265817082851067}"
AST,"{'AVG': 26.548780487804876, 'STDEV': 4.732739762011346}"
BLK,"{'AVG': 4.182926829268292, 'STDEV': 2.534347013473767}"
TOV,"{'AVG': 15.134146341463415, 'STDEV': 3.680989517802466}"
PF,"{'AVG': 23.963414634146343, 'STDEV': 4.651948010789871}"
