,0
Team_ID,1610612764
Season,2007-08
FGM,"{'AVG': 36.41463414634146, 'STDEV': 5.31931309849376}"
FGA,"{'AVG': 81.64634146341463, 'STDEV': 7.19116733809139}"
FGP,"{'AVG': 0.44680487804878005, 'STDEV': 0.059210742899209}"
FG3M,"{'AVG': 7.012195121951219, 'STDEV': 2.8867252685824143}"
FG3A,"{'AVG': 19.682926829268293, 'STDEV': 4.703237783580683}"
FG3P,"{'AVG': 0.350850189460827, 'STDEV': 0.10570445535313001}"
FTM,"{'AVG': 18.98780487804878, 'STDEV': 5.642637292594517}"
FTA,"{'AVG': 24.28048780487805, 'STDEV': 24.28048780487805}"
FTP,"{'AVG': 0.782817073170731, 'STDEV': 0.782817073170731}"
OREB,"{'AVG': 12.28048780487805, 'STDEV': 4.39773901011463}"
DREB,"{'AVG': 29.317073170731707, 'STDEV': 4.703237783580683}"
REB,"{'AVG': 41.59756097560975, 'STDEV': 6.92082160985929}"
AST,"{'AVG': 19.597560975609756, 'STDEV': 4.5266283642561085}"
BLK,"{'AVG': 4.768292682926829, 'STDEV': 2.326968994937962}"
TOV,"{'AVG': 12.585365853658537, 'STDEV': 3.8198675547855823}"
PF,"{'AVG': 19.585365853658537, 'STDEV': 4.118465552420458}"
