,0
Team_ID,1610612763
Season,2007-08
FGM,"{'AVG': 37.31707317073171, 'STDEV': 5.277200082489703}"
FGA,"{'AVG': 82.15853658536585, 'STDEV': 7.96980336854134}"
FGP,"{'AVG': 0.45490243902439004, 'STDEV': 0.053324445962312006}"
FG3M,"{'AVG': 7.560975609756097, 'STDEV': 3.326279800022804}"
FG3A,"{'AVG': 21.695121951219512, 'STDEV': 5.528130138161589}"
FG3P,"{'AVG': 0.34029003586316303, 'STDEV': 0.110488729048047}"
FTM,"{'AVG': 18.5, 'STDEV': 6.059886320899281}"
FTA,"{'AVG': 25.573170731707318, 'STDEV': 25.573170731707318}"
FTP,"{'AVG': 0.728829268292682, 'STDEV': 0.728829268292682}"
OREB,"{'AVG': 10.341463414634147, 'STDEV': 3.493272236513792}"
DREB,"{'AVG': 31.304878048780488, 'STDEV': 4.847524567177431}"
REB,"{'AVG': 41.646341463414636, 'STDEV': 5.536348913261399}"
AST,"{'AVG': 19.195121951219512, 'STDEV': 4.947724316377199}"
BLK,"{'AVG': 4.7073170731707314, 'STDEV': 2.16303287805728}"
TOV,"{'AVG': 14.768292682926829, 'STDEV': 4.037780775660249}"
PF,"{'AVG': 19.414634146341463, 'STDEV': 4.589174646771761}"
