,0
Team_ID,1610612755
Season,2008-09
FGM,"{'AVG': 36.548780487804876, 'STDEV': 4.94201548084867}"
FGA,"{'AVG': 79.65853658536585, 'STDEV': 7.301647898215113}"
FGP,"{'AVG': 0.46082926829268206, 'STDEV': 0.062494010553120004}"
FG3M,"{'AVG': 4.158536585365853, 'STDEV': 2.426548186948542}"
FG3A,"{'AVG': 13.073170731707316, 'STDEV': 4.221580324905191}"
FG3P,"{'AVG': 0.313450714842405, 'STDEV': 0.147407788790962}"
FTM,"{'AVG': 20.146341463414632, 'STDEV': 6.626027898305572}"
FTA,"{'AVG': 27.024390243902438, 'STDEV': 27.024390243902438}"
FTP,"{'AVG': 0.743390243902439, 'STDEV': 0.743390243902439}"
OREB,"{'AVG': 12.670731707317072, 'STDEV': 3.981608577623118}"
DREB,"{'AVG': 28.48780487804878, 'STDEV': 5.026458150796076}"
REB,"{'AVG': 41.15853658536585, 'STDEV': 7.141375722834808}"
AST,"{'AVG': 20.085365853658537, 'STDEV': 4.795062325351446}"
BLK,"{'AVG': 5.060975609756097, 'STDEV': 2.5354161076446493}"
TOV,"{'AVG': 13.5, 'STDEV': 3.804643037391985}"
PF,"{'AVG': 20.121951219512194, 'STDEV': 3.408016127238398}"
