,0
Team_ID,1610612763
Season,2018-19
FGM,"{'AVG': 37.96341463414634, 'STDEV': 4.579732921080134}"
FGA,"{'AVG': 84.4390243902439, 'STDEV': 7.511468697891097}"
FGP,"{'AVG': 0.450695121951219, 'STDEV': 0.047082719176431004}"
FG3M,"{'AVG': 9.890243902439025, 'STDEV': 3.220329319717394}"
FG3A,"{'AVG': 28.878048780487806, 'STDEV': 5.39407595469312}"
FG3P,"{'AVG': 0.33989575394751204, 'STDEV': 0.079143010820689}"
FTM,"{'AVG': 17.71951219512195, 'STDEV': 5.104523267044637}"
FTA,"{'AVG': 22.951219512195124, 'STDEV': 22.951219512195124}"
FTP,"{'AVG': 0.7750365853658531, 'STDEV': 0.7750365853658531}"
OREB,"{'AVG': 8.817073170731707, 'STDEV': 3.587110150127515}"
DREB,"{'AVG': 32.96341463414634, 'STDEV': 5.43978286138725}"
REB,"{'AVG': 41.78048780487805, 'STDEV': 6.3712788999412915}"
AST,"{'AVG': 23.9390243902439, 'STDEV': 4.606349779998699}"
BLK,"{'AVG': 5.463414634146342, 'STDEV': 2.75409962411244}"
TOV,"{'AVG': 13.170731707317072, 'STDEV': 3.934039101931429}"
PF,"{'AVG': 21.963414634146343, 'STDEV': 3.811759329231153}"
