,0
Team_ID,1610612760
Season,2018-19
FGM,"{'AVG': 42.646341463414636, 'STDEV': 4.9425638151822024}"
FGA,"{'AVG': 93.97560975609755, 'STDEV': 7.460142006651737}"
FGP,"{'AVG': 0.45485365853658505, 'STDEV': 0.04802445929059}"
FG3M,"{'AVG': 11.365853658536585, 'STDEV': 3.7400475177609582}"
FG3A,"{'AVG': 32.646341463414636, 'STDEV': 8.026763797891928}"
FG3P,"{'AVG': 0.351416952183353, 'STDEV': 0.085214118472411}"
FTM,"{'AVG': 17.817073170731707, 'STDEV': 5.207136718907499}"
FTA,"{'AVG': 24.98780487804878, 'STDEV': 24.98780487804878}"
FTP,"{'AVG': 0.7139756097560971, 'STDEV': 0.7139756097560971}"
OREB,"{'AVG': 12.573170731707316, 'STDEV': 4.073493019252424}"
DREB,"{'AVG': 35.5, 'STDEV': 5.174128423055579}"
REB,"{'AVG': 48.073170731707314, 'STDEV': 6.2435754393446}"
AST,"{'AVG': 23.378048780487806, 'STDEV': 5.318591301246021}"
BLK,"{'AVG': 5.182926829268292, 'STDEV': 2.222933490507964}"
TOV,"{'AVG': 13.646341463414634, 'STDEV': 3.155915281606797}"
PF,"{'AVG': 22.426829268292682, 'STDEV': 4.838198031572606}"
