,0
Team_ID,1610612750
Season,2018-19
FGM,"{'AVG': 41.6219512195122, 'STDEV': 4.663068040801747}"
FGA,"{'AVG': 91.2560975609756, 'STDEV': 7.178175041654804}"
FGP,"{'AVG': 0.45720731707317, 'STDEV': 0.048427300178613006}"
FG3M,"{'AVG': 10.085365853658537, 'STDEV': 2.9237267758052172}"
FG3A,"{'AVG': 28.74390243902439, 'STDEV': 6.111739312377706}"
FG3P,"{'AVG': 0.35529289333172304, 'STDEV': 0.08818478830792201}"
FTM,"{'AVG': 19.146341463414632, 'STDEV': 6.539758653038195}"
FTA,"{'AVG': 24.329268292682926, 'STDEV': 24.329268292682926}"
FTP,"{'AVG': 0.7866219512195121, 'STDEV': 0.7866219512195121}"
OREB,"{'AVG': 11.25609756097561, 'STDEV': 4.066760702038946}"
DREB,"{'AVG': 33.53658536585366, 'STDEV': 5.181150837294312}"
REB,"{'AVG': 44.792682926829265, 'STDEV': 6.938420151195784}"
AST,"{'AVG': 24.609756097560975, 'STDEV': 3.835365315099854}"
BLK,"{'AVG': 5.012195121951219, 'STDEV': 2.821845567337418}"
TOV,"{'AVG': 12.560975609756097, 'STDEV': 3.428628783162608}"
PF,"{'AVG': 20.29268292682927, 'STDEV': 4.029176936684751}"
