,0
Team_ID,1610612741
Season,2018-19
FGM,"{'AVG': 39.829268292682926, 'STDEV': 5.057215546881921}"
FGA,"{'AVG': 87.86585365853658, 'STDEV': 7.8485072814020524}"
FGP,"{'AVG': 0.45418292682926803, 'STDEV': 0.050027184720719}"
FG3M,"{'AVG': 9.085365853658537, 'STDEV': 3.262965475094571}"
FG3A,"{'AVG': 25.890243902439025, 'STDEV': 5.910873214847312}"
FG3P,"{'AVG': 0.349207197269904, 'STDEV': 0.09275300624617401}"
FTM,"{'AVG': 16.195121951219512, 'STDEV': 5.651262339896017}"
FTA,"{'AVG': 20.670731707317074, 'STDEV': 20.670731707317074}"
FTP,"{'AVG': 0.7882926829268291, 'STDEV': 0.7882926829268291}"
OREB,"{'AVG': 8.75609756097561, 'STDEV': 3.191659561387531}"
DREB,"{'AVG': 34.13414634146341, 'STDEV': 4.80422189617658}"
REB,"{'AVG': 42.890243902439025, 'STDEV': 5.52883819546467}"
AST,"{'AVG': 21.902439024390244, 'STDEV': 4.339339871561967}"
BLK,"{'AVG': 4.2804878048780495, 'STDEV': 2.092162861280413}"
TOV,"{'AVG': 13.487804878048781, 'STDEV': 4.295400648005899}"
PF,"{'AVG': 20.28048780487805, 'STDEV': 3.775405759385021}"
