,0
Team_ID,1610612762
Season,2018-19
FGM,"{'AVG': 40.41463414634146, 'STDEV': 5.669827483412448}"
FGA,"{'AVG': 86.36585365853658, 'STDEV': 6.044101696005216}"
FGP,"{'AVG': 0.4685, 'STDEV': 0.061779426436834005}"
FG3M,"{'AVG': 12.109756097560975, 'STDEV': 3.5101478902436742}"
FG3A,"{'AVG': 34.01219512195122, 'STDEV': 5.763859094839246}"
FG3P,"{'AVG': 0.35452085017324203, 'STDEV': 0.081292854507495}"
FTM,"{'AVG': 18.78048780487805, 'STDEV': 5.432013905334805}"
FTA,"{'AVG': 25.51219512195122, 'STDEV': 25.51219512195122}"
FTP,"{'AVG': 0.7383048780487801, 'STDEV': 0.7383048780487801}"
OREB,"{'AVG': 10, 'STDEV': 3.173968190463489}"
DREB,"{'AVG': 36.353658536585364, 'STDEV': 5.655483411937834}"
REB,"{'AVG': 46.353658536585364, 'STDEV': 6.581627910786004}"
AST,"{'AVG': 26.01219512195122, 'STDEV': 5.23637303191423}"
BLK,"{'AVG': 5.890243902439025, 'STDEV': 2.304081711304911}"
TOV,"{'AVG': 14.75609756097561, 'STDEV': 3.4625366267519713}"
PF,"{'AVG': 21.073170731707318, 'STDEV': 3.391275981884345}"
