,0
Team_ID,1610612740
Season,2019-20
FGM,"{'AVG': 42.56944444444444, 'STDEV': 4.433630721784551}"
FGA,"{'AVG': 91.63888888888889, 'STDEV': 7.144988503830835}"
FGP,"{'AVG': 0.466152777777777, 'STDEV': 0.050619169035706006}"
FG3M,"{'AVG': 13.63888888888889, 'STDEV': 3.497707722412508}"
FG3A,"{'AVG': 36.888888888888886, 'STDEV': 6.334692218932756}"
FG3P,"{'AVG': 0.36987867770688904, 'STDEV': 0.074457965384218}"
FTM,"{'AVG': 17.069444444444443, 'STDEV': 5.797829581492115}"
FTA,"{'AVG': 23.430555555555557, 'STDEV': 23.430555555555557}"
FTP,"{'AVG': 0.726958333333333, 'STDEV': 0.726958333333333}"
OREB,"{'AVG': 11.069444444444445, 'STDEV': 3.73535219558198}"
DREB,"{'AVG': 35.43055555555556, 'STDEV': 4.5154707111605745}"
REB,"{'AVG': 46.5, 'STDEV': 6.467687833800651}"
AST,"{'AVG': 26.833333333333332, 'STDEV': 5.015469028661705}"
BLK,"{'AVG': 4.972222222222222, 'STDEV': 2.257832827443678}"
TOV,"{'AVG': 15.875, 'STDEV': 3.845383183895451}"
PF,"{'AVG': 21.166666666666668, 'STDEV': 4.324838187968734}"
