,0
Team_ID,1610612745
Season,2017-18
FGM,"{'AVG': 38.707317073170735, 'STDEV': 4.514688797166474}"
FGA,"{'AVG': 84.21951219512195, 'STDEV': 6.840374674316798}"
FGP,"{'AVG': 0.46030487804878, 'STDEV': 0.046610730769045004}"
FG3M,"{'AVG': 15.317073170731707, 'STDEV': 3.291883204431315}"
FG3A,"{'AVG': 42.31707317073171, 'STDEV': 6.537410006991929}"
FG3P,"{'AVG': 0.363840388092501, 'STDEV': 0.068212856292865}"
FTM,"{'AVG': 19.621951219512194, 'STDEV': 6.691878704084801}"
FTA,"{'AVG': 25.134146341463413, 'STDEV': 25.134146341463413}"
FTP,"{'AVG': 0.780231707317073, 'STDEV': 0.780231707317073}"
OREB,"{'AVG': 9.012195121951219, 'STDEV': 3.101150333917425}"
DREB,"{'AVG': 34.451219512195124, 'STDEV': 4.753562508174342}"
REB,"{'AVG': 43.46341463414634, 'STDEV': 5.126053332167706}"
AST,"{'AVG': 21.548780487804876, 'STDEV': 4.677639055806326}"
BLK,"{'AVG': 4.7804878048780495, 'STDEV': 2.090687111601082}"
TOV,"{'AVG': 13.170731707317072, 'STDEV': 3.365786016278708}"
PF,"{'AVG': 19.475609756097562, 'STDEV': 4.889458577303105}"
