,0
Team_ID,1610612749
Season,1991-92
FGM,"{'AVG': 40.5, 'STDEV': 5.863151303682734}"
FGA,"{'AVG': 88, 'STDEV': 8.181581241113374}"
FGP,"{'AVG': 0.46107317073170706, 'STDEV': 0.05898582807148701}"
FG3M,"{'AVG': 4.524390243902439, 'STDEV': 2.150082454669809}"
FG3A,"{'AVG': 12.25609756097561, 'STDEV': 4.138977554933209}"
FG3P,"{'AVG': 0.36434374349546506, 'STDEV': 0.121793609904547}"
FTM,"{'AVG': 19.451219512195124, 'STDEV': 6.031097271384248}"
FTA,"{'AVG': 25.658536585365855, 'STDEV': 25.658536585365855}"
FTP,"{'AVG': 0.7592682926829261, 'STDEV': 0.7592682926829261}"
OREB,"{'AVG': 15.829268292682928, 'STDEV': 4.468835510065152}"
DREB,"{'AVG': 26.475609756097562, 'STDEV': 4.876817444711197}"
REB,"{'AVG': 42.30487804878049, 'STDEV': 6.600952090680769}"
AST,"{'AVG': 24.609756097560975, 'STDEV': 5.137026323268162}"
BLK,"{'AVG': 3.865853658536585, 'STDEV': 2.147419899608217}"
TOV,"{'AVG': 15.914634146341463, 'STDEV': 4.028298723436407}"
PF,"{'AVG': 23.21951219512195, 'STDEV': 4.052203760259873}"
