,0
Team_ID,1610612757
Season,1991-92
FGM,"{'AVG': 42.390243902439025, 'STDEV': 5.616897121463994}"
FGA,"{'AVG': 89.65853658536585, 'STDEV': 8.127410582113464}"
FGP,"{'AVG': 0.474036585365853, 'STDEV': 0.057419497080577}"
FG3M,"{'AVG': 3.963414634146341, 'STDEV': 2.421330732740585}"
FG3A,"{'AVG': 11.512195121951219, 'STDEV': 4.158121318543868}"
FG3P,"{'AVG': 0.333475835058746, 'STDEV': 0.159497004448892}"
FTM,"{'AVG': 22.658536585365855, 'STDEV': 6.985380699073649}"
FTA,"{'AVG': 30.036585365853657, 'STDEV': 30.036585365853657}"
FTP,"{'AVG': 0.753365853658536, 'STDEV': 0.753365853658536}"
OREB,"{'AVG': 15.78048780487805, 'STDEV': 4.7610155318914025}"
DREB,"{'AVG': 31.085365853658537, 'STDEV': 4.5709799028114375}"
REB,"{'AVG': 46.86585365853659, 'STDEV': 7.091574195544482}"
AST,"{'AVG': 25.182926829268293, 'STDEV': 5.202392727711488}"
BLK,"{'AVG': 5, 'STDEV': 2.5482988758177143}"
TOV,"{'AVG': 15.841463414634147, 'STDEV': 3.847299877900972}"
PF,"{'AVG': 24.182926829268293, 'STDEV': 4.807730525871304}"
