,0
Team_ID,1610612744
Season,2002-03
FGM,"{'AVG': 37.329268292682926, 'STDEV': 4.789533027184217}"
FGA,"{'AVG': 84.64634146341463, 'STDEV': 7.322166499905178}"
FGP,"{'AVG': 0.442719512195121, 'STDEV': 0.058533365896861006}"
FG3M,"{'AVG': 5.182926829268292, 'STDEV': 2.615849359409512}"
FG3A,"{'AVG': 15.060975609756097, 'STDEV': 5.259553473455567}"
FG3P,"{'AVG': 0.34127042291144505, 'STDEV': 0.135395051876149}"
FTM,"{'AVG': 22.597560975609756, 'STDEV': 6.003825439138239}"
FTA,"{'AVG': 29.048780487804876, 'STDEV': 29.048780487804876}"
FTP,"{'AVG': 0.779621951219512, 'STDEV': 0.779621951219512}"
OREB,"{'AVG': 15.658536585365853, 'STDEV': 5.016563951686556}"
DREB,"{'AVG': 31.048780487804876, 'STDEV': 4.537640761410556}"
REB,"{'AVG': 46.707317073170735, 'STDEV': 6.29812397087771}"
AST,"{'AVG': 20.878048780487806, 'STDEV': 4.327318457732008}"
BLK,"{'AVG': 6.170731707317073, 'STDEV': 2.609597093204002}"
TOV,"{'AVG': 15.195121951219512, 'STDEV': 3.382741325291247}"
PF,"{'AVG': 21.78048780487805, 'STDEV': 3.781123976351582}"
