,0
Team_ID,1610612758
Season,2002-03
FGM,"{'AVG': 39.53658536585366, 'STDEV': 4.841168928201962}"
FGA,"{'AVG': 85.2439024390244, 'STDEV': 7.342689276928777}"
FGP,"{'AVG': 0.46480487804878, 'STDEV': 0.051702481976956004}"
FG3M,"{'AVG': 5.987804878048781, 'STDEV': 2.4519777980135182}"
FG3A,"{'AVG': 15.707317073170731, 'STDEV': 4.170702652344423}"
FG3P,"{'AVG': 0.379424369454171, 'STDEV': 0.12468507407417101}"
FTM,"{'AVG': 16.670731707317074, 'STDEV': 5.948451148234543}"
FTA,"{'AVG': 22.341463414634145, 'STDEV': 22.341463414634145}"
FTP,"{'AVG': 0.749621951219512, 'STDEV': 0.749621951219512}"
OREB,"{'AVG': 10.975609756097562, 'STDEV': 4.2133696955653654}"
DREB,"{'AVG': 33.548780487804876, 'STDEV': 5.259095446384528}"
REB,"{'AVG': 44.52439024390244, 'STDEV': 6.78637998695262}"
AST,"{'AVG': 24.804878048780488, 'STDEV': 4.350220724895998}"
BLK,"{'AVG': 5.573170731707317, 'STDEV': 2.735367300160458}"
TOV,"{'AVG': 14.28048780487805, 'STDEV': 3.475751593803094}"
PF,"{'AVG': 20.317073170731707, 'STDEV': 3.8486106160005713}"
