,0
Team_ID,1610612743
Season,2002-03
FGM,"{'AVG': 32.792682926829265, 'STDEV': 5.039933873949041}"
FGA,"{'AVG': 79.8048780487805, 'STDEV': 8.111018301432864}"
FGP,"{'AVG': 0.41217073170731705, 'STDEV': 0.058828439598809006}"
FG3M,"{'AVG': 2.792682926829268, 'STDEV': 1.8035479770804081}"
FG3A,"{'AVG': 10.048780487804878, 'STDEV': 3.9154724389727633}"
FG3P,"{'AVG': 0.265393473998963, 'STDEV': 0.133354781160647}"
FTM,"{'AVG': 15.78048780487805, 'STDEV': 5.6938875396923905}"
FTA,"{'AVG': 22.5609756097561, 'STDEV': 22.5609756097561}"
FTP,"{'AVG': 0.6936219512195121, 'STDEV': 0.6936219512195121}"
OREB,"{'AVG': 13.560975609756097, 'STDEV': 4.076725752806449}"
DREB,"{'AVG': 28.817073170731707, 'STDEV': 5.211876391995895}"
REB,"{'AVG': 42.3780487804878, 'STDEV': 6.897199725031442}"
AST,"{'AVG': 21.182926829268293, 'STDEV': 4.853732301419106}"
BLK,"{'AVG': 5.146341463414634, 'STDEV': 2.708568713279369}"
TOV,"{'AVG': 17.378048780487806, 'STDEV': 4.801337889427829}"
PF,"{'AVG': 25.073170731707318, 'STDEV': 4.177483700657161}"
