,0
Team_ID,1610612750
Season,2002-03
FGM,"{'AVG': 38.68292682926829, 'STDEV': 5.047620265061443}"
FGA,"{'AVG': 83.03658536585365, 'STDEV': 6.530923822408602}"
FGP,"{'AVG': 0.46612195121951205, 'STDEV': 0.051657798580373004}"
FG3M,"{'AVG': 3.6097560975609753, 'STDEV': 2.209720934064716}"
FG3A,"{'AVG': 9.804878048780488, 'STDEV': 3.673189566287393}"
FG3P,"{'AVG': 0.36200283440665104, 'STDEV': 0.168056923777431}"
FTM,"{'AVG': 17.146341463414632, 'STDEV': 5.969308232186721}"
FTA,"{'AVG': 22.26829268292683, 'STDEV': 22.26829268292683}"
FTP,"{'AVG': 0.767231707317073, 'STDEV': 0.767231707317073}"
OREB,"{'AVG': 11.695121951219512, 'STDEV': 3.74393014730607}"
DREB,"{'AVG': 31.878048780487806, 'STDEV': 5.829660735745038}"
REB,"{'AVG': 43.573170731707314, 'STDEV': 7.0396241619039}"
AST,"{'AVG': 25.24390243902439, 'STDEV': 5.527844166233959}"
BLK,"{'AVG': 5.2804878048780495, 'STDEV': 2.374111348985196}"
TOV,"{'AVG': 13.304878048780488, 'STDEV': 3.841582185590723}"
PF,"{'AVG': 20.78048780487805, 'STDEV': 4.076504161516555}"
