,0
Team_ID,1610612747
Season,2002-03
FGM,"{'AVG': 37.69512195121951, 'STDEV': 4.607264860100527}"
FGA,"{'AVG': 83.60975609756098, 'STDEV': 7.176360537003497}"
FGP,"{'AVG': 0.45332926829268205, 'STDEV': 0.058442766109836}"
FG3M,"{'AVG': 5.926829268292683, 'STDEV': 2.801148299831929}"
FG3A,"{'AVG': 16.670731707317074, 'STDEV': 4.956738468803659}"
FG3P,"{'AVG': 0.358019605144396, 'STDEV': 0.129865278982247}"
FTM,"{'AVG': 19.048780487804876, 'STDEV': 5.239692854593557}"
FTA,"{'AVG': 25.963414634146343, 'STDEV': 25.963414634146343}"
FTP,"{'AVG': 0.736158536585365, 'STDEV': 0.736158536585365}"
OREB,"{'AVG': 13.146341463414634, 'STDEV': 3.6653935541295732}"
DREB,"{'AVG': 31.146341463414632, 'STDEV': 4.551819474005815}"
REB,"{'AVG': 44.292682926829265, 'STDEV': 5.9762654114918465}"
AST,"{'AVG': 23.28048780487805, 'STDEV': 5.097262374032358}"
BLK,"{'AVG': 5.73170731707317, 'STDEV': 2.780215732316002}"
TOV,"{'AVG': 14.048780487804878, 'STDEV': 4.064001673909658}"
PF,"{'AVG': 22.853658536585368, 'STDEV': 4.274881995973003}"
