,0
Team_ID,1610612756
Season,1997-98
FGM,"{'AVG': 38.26829268292683, 'STDEV': 5.411576024946241}"
FGA,"{'AVG': 81.82926829268293, 'STDEV': 8.047397981509887}"
FGP,"{'AVG': 0.46969512195121904, 'STDEV': 0.064675006912413}"
FG3M,"{'AVG': 5.256097560975609, 'STDEV': 2.3717003100591603}"
FG3A,"{'AVG': 14.768292682926829, 'STDEV': 5.065737684054466}"
FG3P,"{'AVG': 0.360399150895779, 'STDEV': 0.128156329606737}"
FTM,"{'AVG': 17.79268292682927, 'STDEV': 6.219717362634972}"
FTA,"{'AVG': 23.75609756097561, 'STDEV': 23.75609756097561}"
FTP,"{'AVG': 0.746780487804878, 'STDEV': 0.746780487804878}"
OREB,"{'AVG': 12.085365853658537, 'STDEV': 4.006788127548866}"
DREB,"{'AVG': 29.902439024390244, 'STDEV': 5.042069328511858}"
REB,"{'AVG': 41.98780487804878, 'STDEV': 6.585607019349791}"
AST,"{'AVG': 25.902439024390244, 'STDEV': 6.052465584927344}"
BLK,"{'AVG': 5.23170731707317, 'STDEV': 2.5008580280060073}"
TOV,"{'AVG': 14.560975609756097, 'STDEV': 4.519088624866497}"
PF,"{'AVG': 21.524390243902438, 'STDEV': 5.418818626104743}"
