,0
Team_ID,1610612754
Season,2003-04
FGM,"{'AVG': 33.573170731707314, 'STDEV': 4.797196938246123}"
FGA,"{'AVG': 77.09756097560975, 'STDEV': 6.027938566411706}"
FGP,"{'AVG': 0.43576829268292605, 'STDEV': 0.054590800740089006}"
FG3M,"{'AVG': 5.475609756097561, 'STDEV': 2.485640786082033}"
FG3A,"{'AVG': 15.621951219512194, 'STDEV': 4.381893845884839}"
FG3P,"{'AVG': 0.34704956006798804, 'STDEV': 0.135859892906318}"
FTM,"{'AVG': 18.75609756097561, 'STDEV': 6.546247583345982}"
FTA,"{'AVG': 24.5609756097561, 'STDEV': 24.5609756097561}"
FTP,"{'AVG': 0.7589390243902431, 'STDEV': 0.7589390243902431}"
OREB,"{'AVG': 11.768292682926829, 'STDEV': 3.518202334483557}"
DREB,"{'AVG': 29.902439024390244, 'STDEV': 5.005206563484633}"
REB,"{'AVG': 41.670731707317074, 'STDEV': 6.128369323817363}"
AST,"{'AVG': 21.634146341463413, 'STDEV': 4.806148826890509}"
BLK,"{'AVG': 5.012195121951219, 'STDEV': 2.521482527065555}"
TOV,"{'AVG': 13.512195121951219, 'STDEV': 4.158121318543868}"
PF,"{'AVG': 20.841463414634145, 'STDEV': 3.876072570620816}"
