,0
Team_ID,1610612741
Season,2003-04
FGM,"{'AVG': 34.1219512195122, 'STDEV': 5.021903244301104}"
FGA,"{'AVG': 82.35365853658537, 'STDEV': 7.225421430264551}"
FGP,"{'AVG': 0.41603658536585303, 'STDEV': 0.062701023899716}"
FG3M,"{'AVG': 5.23170731707317, 'STDEV': 2.435837273284303}"
FG3A,"{'AVG': 15.317073170731707, 'STDEV': 4.8224732366325}"
FG3P,"{'AVG': 0.34657774601713404, 'STDEV': 0.135447940309878}"
FTM,"{'AVG': 16.21951219512195, 'STDEV': 5.125642122360486}"
FTA,"{'AVG': 22.365853658536587, 'STDEV': 22.365853658536587}"
FTP,"{'AVG': 0.722731707317073, 'STDEV': 0.722731707317073}"
OREB,"{'AVG': 12.78048780487805, 'STDEV': 3.718569983484466}"
DREB,"{'AVG': 30.71951219512195, 'STDEV': 5.466563662633704}"
REB,"{'AVG': 43.5, 'STDEV': 6.323091133415798}"
AST,"{'AVG': 21.865853658536587, 'STDEV': 4.878175623162675}"
BLK,"{'AVG': 4.829268292682927, 'STDEV': 2.9472937075790933}"
TOV,"{'AVG': 15.231707317073171, 'STDEV': 3.824220344934698}"
PF,"{'AVG': 23.304878048780488, 'STDEV': 4.69485934889768}"
